ISBN	BookTitle	BookAuthor	YearOfPublication	Publisher	Pagenumber	Issue	Genre	Dimensions	BookLanguage
0553487531	The Mummy Returns	John Whitman	2001	Skylark Books	507	21	20.96 x 26.04	ENG	crafts/hobbies
0553492152	Elizabeth's Secret Diary (Sweet Valley High , Vol 3 (Special Issue))	Kate William	1997	Sweet Valley	591	4	20.96 x 26.04	FR	textbook
0553492314	A Picture Perfect Prom (Sweet Valley High, No 141)	Kate William	1998	Sweet Valley	404	4	20.96 x 26.04	FR	short story
0553492365	Aftershock (Sweet Valley High Special #2)	Kate William	1998	Bantam Books	519	7	20.96 x 26.04	FR	romance
0553492551	What We Did Last Summer (Love Stories #33)	Elizabeth Craft	1998	Bantam Doubleday Dell Books for Young Readers	428	19	29.85 x 29.85	ENG	guide
0553492691	Stranded (Sweet Valley University, No 49)	FRANCINE PASCAL	1999	Sweet Valley	232	9	20.96 x 26.04	SP	self help
0553492942	The Dance (Love Stories. Super 11)	Craig Hillman	1999	Bantam Books	56	8	20.96 x 26.04	CRO	guide
0553493264	London: Kit &amp; Robin (Love Stories: Year Abroad Trilogy (Paperback))	Rachel Hawthorne	2000	Bantam Books	654	18	20.96 x 26.04	ENG	true crime
0553493906	He's Back (Svh Senior Year (Sweet Valley High), 41)	Francine Pascal	2002	Sweet Valley	255	12	20.96 x 26.04	FR	fantasy
0553493981	Recruited: An Alias Prequel	Lynn Mason	2002	Bantam Books for Young Readers	184	3	17.15 x 16.83	ENG	drama
055350259X	In a Sunburned Country	Bill Bryson	2000	Random House Audio Publishing Group	113	3	17.15 x 16.83	ENG	suspense
0553502697	From the Corner of His Eye	DEAN KOONTZ	2000	Random House Audio	660	12	20.96 x 26.04	ENG	drama
0553524992	The Tin Man	Dale Brown	1998	Random House Audio Publishing Group	224	24	20.96 x 26.04	ENG	home and garden
0553526847	The Brethren	John Grisham	2000	Random House Audio Publishing Group	65	2	20.96 x 26.04	ENG	children
0553526901	The Runner	Christopher Reich	2000	Random House Audio Publishing Group	236	13	20.96 x 26.04	ENG	crafts/hobbies
0553527126	A Great Deliverance	Elizabeth George	2000	Random House Audio Publishing Group	584	6	20.96 x 26.04	ENG	picture book
0553528300	Promises	BELVA PLAIN	2001	Random House Audio	163	20	12.70 x 12.70	ENG	fairytale
0553542265	Crashing the Boards (Super Hoops)	Dan Weiss	1995	Bantam Doubleday Dell Publishing Group	210	10	20.96 x 26.04	ENG	coming of age
0553542311	April Ghouls' Day	Tom B. Stone	1995	Bantam Doubleday Dell Publishing Group	320	25	20.96 x 26.04	CRO	science fiction
0553542842	The Guinness Book of World Records 1997	Norris McWhirter	1997	Bantam Books	262	24	20.96 x 26.04	ENG	history
0553542907	Jessica's First Kiss (Sweet Valley Twins Super (Paperback))	Francine Pascal	1997	Bantam Doubleday Dell Publishing Group	209	10	20.96 x 26.04	SP	crime
0553550020	A Home at the End of the World	Michael Cunningham	1992	Bantam Books	255	3	17.15 x 16.83	ENG	satire
0553550039	The Stories of Eva Luna	Isabel Allende	1992	Bantam Books	643	5	20.96 x 26.04	ENG	science fiction
0553550446	Scoundrel (Loveswept Classic, 35)	Charlotte Hughes	1996	Bantam	649	18	20.96 x 26.04	SP	cookbook
0553560506	Sarah's Sin	Tami Hoag	1992	Bantam	575	5	20.96 x 26.04	SP	children
0553560581	Mable Hoffman's All-New Crockery Favorites	Mable Hoffman	1995	Bantam Books	227	20	20.96 x 26.04	FR	drama
0553560719	Dark Force Rising (Star Wars: The Thrawn Trilogy, Vol. 2)	Timothy Zahn	1998	Bantam	522	7	20.96 x 26.04	SP	drama
0553561421	Red Stick (The White Indian, No 26)	Donald Clayton Porter	1994	Bantam Books	111	16	20.96 x 26.04	ENG	textbook
0553561448	Medicine Shield (The White Indian Series , No 28)	Donald Clayton Porter	1996	Bantam Books	293	14	20.96 x 26.04	ENG	review
0553561537	Desire	Amanda Quick	1994	Bantam	697	12	20.96 x 26.04	SP	political thriller
0553562789	Long Time Coming	Sandra Brown	1997	Bantam Books	432	12	20.96 x 26.04	ENG	fairytale
0553562924	State of Siege	Mike McQuay	1994	Bantam Books	345	15	20.96 x 26.04	SP	short story
0553562967	Bellwether	Connie Willis	1997	Bantam Books	628	8	20.96 x 26.04	ENG	humor
0553563335	Fairest of Them All	Teresa Medeiros	1995	Bantam	42	4	20.96 x 26.04	ENG	action and adventure
0553563424	Sins of Innocence	Jean Stone	1994	Bantam Books	455	10	20.96 x 26.04	SP	comic book
0553563467	The Engagement	Suzanne Robinson	1996	Bantam	69	5	20.96 x 26.04	ENG	self help
0553563734	The King's Buccaneer	RAYMOND FEIST	1994	Bantam	315	5	20.96 x 26.04	ENG	review
055356403X	The Curse of the Golden Heart (Sweet Valley Twins Super Chiller (Paperback))	Francine Pascal	1994	Sweet Valley	229	22	20.96 x 26.04	FR	satire
0553564048	The Haunted Burial Ground (Sweet Valley Twins and Friends Super Chiller, No 7)	Francine Pascal	1994	Sweet Valley	408	14	20.96 x 26.04	FR	diary
0553564404	Finnegan's Week	Joseph Wambaugh	1996	Bantam Books	115	19	20.96 x 26.04	ENG	textbook
0553564412	Alien Harvest (Aliens)	Robert Sheckley (Adapter)	1995	Bantam	122	13	20.96 x 26.04	ENG	short story
0553564420	Rogue (Aliens)	Sandy Schofield	1995	Spectra Books	261	7	12.70 x 12.70	ENG	crime
0553564498	Fountain of Death (Gregor Demarkian Series)	Jane Haddam	1995	Crimeline	294	4	20.96 x 26.04	ENG	autobiography
055356451X	Night Sins	TAMI HOAG	1995	Bantam	458	7	20.96 x 26.04	SP	young adult
0553564668	What Falls Away: A Memoir	Mia Farrow	1998	Bantam Books	252	19	20.96 x 26.04	ENG	crafts/hobbies
0553564684	Star Wars: Tales from the Mos Eisley Cantina (Star Wars (Random House Paperback))	Kevin J. Anderson	1995	Bantam	635	3	17.15 x 16.83	FR	fairytale
0553564692	Velvet	Jane Feather	1996	Bantam Books	620	6	30.43 x 30.48	ENG	comic book
0553564927	The Last Command (Star Wars: The Thrawn Trilogy, Vol. 3)	Timothy Zahn	1998	Bantam	488	1	20.96 x 26.04	ENG	short story
0553564978	Venus Envy	Rita Mae Brown	1996	Bantam Books	88	18	20.96 x 26.04	ENG	autobiography
0553564994	Homeland (The Crown Family Saga 1890-1900)	John Jakes	1994	Bantam Books	260	20	20.96 x 26.04	ENG	short story
0553565117	The High Missouri (Rivers West)	Win Blevins	1994	Bantam	445	22	20.96 x 26.04	ENG	review
0553565222	The Last Bachelor	Betina M. Krahn	1994	Fanfare	117	4	20.96 x 26.04	ENG	philosophy
0553565338	Warrior Bride	Tamara Leigh	1994	Bantam	93	13	20.96 x 26.04	ENG	diary
0553565443	Kingdoms of the Wall	Robert Silverberg	1994	Bantam Books	218	12	20.96 x 26.04	ENG	diary
0553565508	Brazos	Cameron Judd	1994	Bantam Books	424	19	20.96 x 26.04	ENG	poetry
0553565567	Hunter's Planet (Aliens Vs. Predator, Book 2)	David Bischoff	1994	Bantam	647	14	20.96 x 26.04	CRO	humor
0553565613	Guinness Book of Records, 1994 (Guinness Book of Records, 32nd ed)	Peter Matthews	1994	Bantam Books	639	16	20.96 x 26.04	ENG	cookbook
0553566032	The Scorpio Illusion	Robert Ludlum	1994	Bantam Books	305	22	20.96 x 26.04	SP	autobiography
0553566067	Virtual Light	WILLIAM GIBSON	1994	Bantam	508	15	20.96 x 26.04	ENG	diary
0553566075	Dead Man's Island	Carolyn G. Hart	1994	Bantam Books	98	1	20.96 x 26.04	ENG	crafts/hobbies
0553566350	Jessica the Genius (Sweet Valley High, No 117)	Kate William	1995	Sweet Valley	295	19	12.70 x 12.70	SP	guide
0553566512	DRIVEN TO KILL	G.G. GARTH	1994	Starfire	266	7	20.96 x 26.04	ENG	fairytale
0553566598	Jessica's Secret Diary (Sweet Valley High Diaries)	Francine Pascal	1994	Sweet Valley	580	15	20.96 x 26.04	SP	cookbook
0553566903	Kiss of the Vampire (Sweet Valley University Thriller Edition, No 3)	Laurie John	1995	Bantam Books	630	16	20.96 x 26.04	SP	mystery
0553567152	Don't Die, My Love	LURLENE MCDANIEL	1995	Laurel Leaf	153	8	20.96 x 26.04	ENG	sports and leisure
0553567608	Six Months to Live	LURLENE MCDANIEL	1995	Bantam	102	2	20.96 x 26.04	SP	memoir
0553567624	Camp Killer (Sweet Valley High, No 125)	Kate William	1996	Sweet Valley	131	11	20.96 x 26.04	FR	sports and leisure
0553567659	Dance of Death (Sweet Valley High, No 127)	Francine Pascal	1996	Bantam Books	46	6	20.96 x 26.04	CRO	journal
0553567934	The Last Housewife: A Suburban Detective Mystery (Suburban Detective Mysteries)	Jon Katz	1996	Crimeline	498	22	20.96 x 26.04	ENG	crafts/hobbies
0553567977	The Brazos (Rivers West)	Jory Sherman	1999	Bantam Books	27	14	20.96 x 26.04	ENG	drama
0553568019	Rogue Squadron (Star Wars: X-Wing Series, Book 1)	Michael A. Stackpole	1998	Bantam	434	7	20.96 x 26.04	ENG	anthology
0553568027	Wedge's Gamble (Star Wars: X-Wing Series, Book 2)	Michael A. Stackpole	1998	Bantam	286	13	20.96 x 26.04	FR	math
0553568035	The Krytos Trap (Star Wars: X-Wing Series, Book 3)	Michael A. Stackpole	1996	Bantam	124	21	20.96 x 26.04	ENG	suspense
0553568159	Star Wars: Tales from Jabba's Palace (Star Wars (Random House Paperback))	Kevin J. Anderson	1996	Spectra Books	204	1	20.96 x 26.04	FR	guide
0553568639	The Redhead and the Preacher	Sandra Chastain	1995	Bantam Books	134	2	20.96 x 26.04	ENG	self help
0553568701	Bad Love (Alex Delaware Novels (Paperback))	Jonathan Kellerman	1994	Bantam Books	216	7	20.96 x 26.04	FR	drama
055356871X	The Hammer of God	Arthur C. Clarke	1994	Bantam	673	3	29.85 x 29.85	ENG	alternate history
0553568914	Elvis, Jesus &amp; Coca-Cola (Kinky Friedman Novels (Paperback))	Kinky Friedman	1996	Bantam Books	407	6	30.43 x 30.48	ENG	poetry
0553569058	The Robber Bride	Margaret Atwood	1995	Bantam	463	2	20.96 x 26.04	ENG	poetry
0553569074	Wouldn't Take Nothing for My Journey Now	Maya Angelou	1994	Bantam Books	360	15	20.96 x 26.04	ENG	math
0553569082	After Dark	Phillip Margolin	1996	Bantam Books	406	22	20.96 x 26.04	CRO	religion and spirituality
055356918X	Twice a Hero	Susan Krinard	1997	Bantam Books	264	12	20.96 x 26.04	ENG	encyclopedia
055356921X	The Strange Files of Fremont Jones (Fremont Jones Mysteries (Paperback))	Dianne Day	1996	Bantam	80	20	20.96 x 26.04	FR	western
0553569368	Bleeding Hearts (The Gregor Demarkian Holiday Series)	Jane Haddam	1995	Bantam Books	220	18	20.96 x 26.04	CRO	true crime
0553569406	Mistress	Amanda Quick	1995	Bantam Books	559	9	20.96 x 26.04	ENG	cookbook
0553569414	An Absence of Light	David L. Lindsey	1995	Bantam Books	621	12	20.96 x 26.04	ENG	children
0553569511	How to Murder Your Mother-In-Law	DOROTHY CANNELL	1995	Bantam	369	22	20.96 x 26.04	GER	journal
0553569570	The Apocalypse Watch	Robert Ludlum	1996	Bantam Books	497	24	12.70 x 12.70	ENG	sports and leisure
055356966X	By Evil Means (Phoebe Siegel Mystery)	SANDRA WEST PROWELL	1995	Crimeline	353	13	20.96 x 26.04	SP	history
0553569694	The Killing of Monday Brown (A Phoebe Siegel Mystery)	Sandra West Prowell	1996	Bantam Books	157	17	20.96 x 26.04	SP	comic book
0553569783	Heartstone	PHILLIP M. MARGOLIN	1995	Bantam	498	24	20.96 x 26.04	ENG	review
0553569910	The Ugly Duckling	Iris Johansen	1997	Bantam Books	419	3	17.15 x 16.83	ENG	mystery
0553570099	Running for Her Life (Sweet Valley University Thriller (Paperback))	Francine Pascal	1996	Sweet Valley	448	2	20.96 x 26.04	SP	horror
0553570587	Spy Girl (Sweet Valley University, No 34)	Laurie John	1997	Sweet Valley	509	7	20.96 x 26.04	SP	biography
0553570684	Happily Ever After (Sweet Valley High, No 134)	Kate William	1997	Sweet Valley	386	23	20.96 x 26.04	FR	autobiography
0553570692	Lila's New Flame (Sweet Valley High, No 135)	Kate William	1997	Sweet Valley	624	17	20.96 x 26.04	FR	science
0553570706	Too Hot to Handle (Sweet Valley High, No 136)	Francine Pascal	1997	Sweet Valley	162	17	20.96 x 26.04	FR	art/architecture
055357115X	Until Angels Close My Eyes	Lurlene McDaniel	1998	Starfire	144	16	20.96 x 26.04	ENG	children
0553571338	The Giver	LOIS LOWRY	1999	Bantam Books for Young Readers	107	11	20.96 x 26.04	ENG	guide
0553571486	Angel of Hope (Mercy Trilogy)	Lurlene McDaniel	2000	Starfire	100	3	29.85 x 29.85	ENG	cookbook
0553571575	Heaven's Price	Sandra Brown	1995	Fanfare	173	7	20.96 x 26.04	ENG	anthology
0553571583	Breakfast in Bed	SANDRA BROWN	1996	Fanfare	559	2	20.96 x 26.04	ENG	young adult
0553571591	Mystique	Amanda Quick	1996	Bantam Books	478	12	20.96 x 26.04	ENG	satire
0553571672	Night Frost	R. D. Wingfield	1995	Bantam Books	297	8	20.96 x 26.04	ENG	humor
0553571745	The Crystal Star (Star Wars (Random House Paperback))	Vonda N. McIntyre	1995	Spectra Books	483	22	20.96 x 26.04	ENG	travel
0553571818	Long After Midnight	IRIS JOHANSEN	1997	Bantam	491	3	17.15 x 16.83	ENG	biography
0553571850	Finding Laura	Kay Hooper	1998	Bantam Books	248	6	12.70 x 12.70	ENG	review
0553571923	Breakheart Hill	Thomas H. Cook	1996	Bantam Books	210	23	20.96 x 26.04	ENG	crime
0553572105	Fly Away Home	Judith Kelman	1997	Bantam Books	519	10	20.96 x 26.04	ENG	journal
055357213X	Brazen	Susan Johnson	1995	Bantam Books	462	17	20.96 x 26.04	ENG	autobiography
0553572156	Taboo	Susan Johnson	1997	Bantam Books	546	20	20.96 x 26.04	ENG	memoir
0553572164	F2F	Phillip Finch	1997	Bantam	487	13	20.96 x 26.04	ENG	historical fiction
0553572261	Saints Rest	Thomas Gifford	1997	Bantam Books	47	8	20.96 x 26.04	ENG	self help
055357227X	The Web (Alex Delaware Series, No. 10)	JONATHAN KELLERMAN	1996	Bantam	270	10	20.96 x 26.04	FR	philosophy
0553572377	Murder, She Meowed (Mrs. Murphy Mysteries (Paperback))	RITA MAE BROWN	1997	Bantam	691	21	20.96 x 26.04	GER	political thriller
0553572407	Interface	Stephen Bury	1997	Bantam Books	513	14	20.96 x 26.04	ENG	encyclopedia
0553572423	The Fist of God	Frederick Forsyth	1995	Bantam Books	96	10	20.96 x 26.04	ENG	fairytale
0553572431	Terminal Games: A Cyber-Thriller	Cole Perriman	1995	Bantam	568	6	20.96 x 26.04	FR	horror
0553572512	Playing for the Ashes	ELIZABETH GEORGE	1995	Bantam	257	21	20.96 x 26.04	ENG	diary
0553572946	Endymion	DAN SIMMONS	1996	Bantam	518	25	20.96 x 26.04	ENG	coming of age
0553572989	Rise of Endymion	DAN SIMMONS	1998	Spectra	148	10	20.96 x 26.04	ENG	suspense
0553573209	Firefly Beach	Luanne Rice	2001	Bantam Books	425	22	20.96 x 26.04	ENG	diary
055357325X	The Seventh Gate (Death Gate Cycle (Paperback))	Margaret Weis	1995	Bantam	379	7	20.96 x 26.04	FR	religion and spirituality
0553573268	Shadow's End	Sheri S. Tepper	1995	Spectra Books	177	24	20.96 x 26.04	ENG	picture book
0553573314	The Diamond Age	Neal Stephenson	1996	Bantam	608	18	20.96 x 26.04	ENG	sports and leisure
0553573357	Blue Mars	Kim Stanley Robinson	1997	Spectra Books	518	13	20.96 x 26.04	ENG	drama
055357339X	Assassin's Apprentice (The Farseer Trilogy, Book 1)	ROBIN HOBB	1996	Bantam	583	16	20.96 x 26.04	SP	home and garden
0553573489	Circumstantial Evidence	Pete Earley	1996	Bantam Books	272	17	20.96 x 26.04	ENG	satire
0553573705	Almost Innocent	Jane Feather	2001	Bantam Books	672	2	20.96 x 26.04	ENG	business/economics
055357373X	Palace: A Novel of the Pinch	Katharine Kerr	1996	Bantam	282	8	20.96 x 26.04	ENG	horror
0553573853	The Game of Thirty	William Kotzwinkle	1995	Bantam	226	15	20.96 x 26.04	ENG	biography
0553573861	Zodiac: The Eco-Thriller	Neal Stephenson	1995	Bantam	293	9	20.96 x 26.04	FR	western
0553573977	The Hancock Boys	Thomas William Simpson	2000	Bantam Books	224	21	20.96 x 26.04	ENG	cookbook
0553574108	I Thee Wed	Amanda Quick	2000	Bantam Books	127	15	20.96 x 26.04	ENG	thriller
0553574167	The Hutt Gambit (Star Wars: The Han Solo Trilogy, Vol. 2)	A. C. Crispin	1998	Bantam Books	606	17	20.96 x 26.04	ENG	true crime
0553574175	Star Wars the Rebel Dawn: The Han Solo Trilogy (Star Wars: Han Solo Trilogy (Paperback))	A.C. Crispin	1998	Spectra Books	115	23	20.96 x 26.04	CRO	autobiography
0553574183	Starfighters of Adumar (Star Wars: X-Wing, Book 9)	Aaron Allston	1999	Spectra Books	548	14	20.96 x 26.04	ENG	science fiction
0553574205	77 Ways to Beat Colds and Flu: A People's Medical Society Book	Charles B. Inlander	1996	Bantam Books	593	2	20.96 x 26.04	FR	autobiography
0553574299	Finder	Greg Rucka	1998	Bantam Books	309	16	20.96 x 26.04	GER	children
0553574353	Helter Skelter: The True Story of the Manson Murders	Vincent Bugliosi	1996	Bantam Books	407	13	20.96 x 26.04	GER	textbook
0553574418	Remake	Connie Willis	1996	Spectra Books	164	12	20.96 x 26.04	ENG	fantasy
0553574566	A Monstrous Regiment of Women	LAURIE R. KING	1996	Bantam	685	9	20.96 x 26.04	ENG	sports and leisure
0553574574	Beach Music	Pat Conroy	1996	Bantam Books	17	5	20.96 x 26.04	SP	thriller
0553574701	A Song for the Asking	Steve Gannon	1997	Bantam Books	461	19	20.96 x 26.04	ENG	review
0553574779	Death at Sandringham House (Her Majesty Investigates)	C. C. Benison	1997	Bantam Books	509	16	20.96 x 26.04	ENG	home and garden
0553574809	The Man Who Loved Women to Death	David Handler	1998	Bantam	385	2	20.96 x 26.04	ENG	math
0553574957	The Burning Man	Phillip Margolin	1997	Bantam Books	55	7	20.96 x 26.04	ENG	home and garden
0553574965	The Last Family	John R. Miller	1997	Bantam Books	593	9	20.96 x 26.04	ENG	religion and spirituality
0553575023	Charming the Prince	TERESA MEDEIROS	1999	Bantam	499	4	20.96 x 26.04	ENG	graphical novel
0553575058	Zero at the Bone	Mary Willis Walker	1997	Bantam Books	27	14	20.96 x 26.04	ENG	religion and spirituality
0553575066	The Scotsman Wore Spurs	Patricia Potter	1997	Bantam Books	431	9	20.96 x 26.04	ENG	self help
0553575090	Deception on His Mind	ELIZABETH GEORGE	1998	Bantam	273	2	12.70 x 12.70	ENG	business/economics
0553575104	In Pursuit of the Proper Sinner	Elizabeth George	2000	Bantam Books	67	5	20.96 x 26.04	SP	biography
0553575279	Fever Season (Benjamin January (Paperback))	BARBARA HAMBLY	1999	Bantam	530	12	20.96 x 26.04	ENG	horror
0553575376	Excession	Iain Banks	1998	Spectra Books	41	24	20.96 x 26.04	SP	political thriller
0553575384	To Say Nothing of the Dog	Connie Willis	1998	Bantam	691	2	20.96 x 26.04	ENG	diary
0553575414	Cat on the Scent (Mrs. Murphy Mysteries (Paperback))	RITA MAE BROWN	2000	Bantam	189	5	20.96 x 26.04	ENG	short story
0553575619	Raptor Red	ROBERT T. BAKKER	1996	Bantam	97	19	20.96 x 26.04	ENG	textbook
0553575635	Ship of Magic (The Liveship Traders, Book 1)	Robin Hobb	1999	Spectra Books	70	20	20.96 x 26.04	GER	anthology
0553575643	Mad Ship (The Liveship Traders, Book 2)	Robin Hobb	2000	Spectra Books	486	17	20.96 x 26.04	GER	western
0553575651	Ship of Destiny (The Liveship Traders, Book 3)	Robin Hobb	2001	Spectra Books	418	2	20.96 x 26.04	GER	graphical novel
0553575708	The Edge of Human (Blade Runner, Book 2)	K. W. Jeter	1996	Bantam	628	4	20.96 x 26.04	RUS	philosophy
0553575791	Simeon's Bride	Alison G. Taylor	1996	Bantam Books	87	15	20.96 x 26.04	SP	math
0553575805	The Guinness Book of Records 1996 (Guinness Book of Records, 1996)	Peter Matthews	1996	Bantam Books	339	14	20.96 x 26.04	ENG	western
0553575937	Jane and the Unpleasantness at Scargrave Manor: Being the First Jane Austen Mystery (Jane Austen Mysteries (Paperback))	Stephanie Barron	1997	Bantam Books	218	10	20.96 x 26.04	FR	mystery
0553576003	Tidings of Great Joy	Sandra Brown	1999	Bantam Books	123	16	20.96 x 26.04	ENG	young adult
0553576038	Thursday's Child	Sandra Brown	2002	Bantam Books	68	3	17.15 x 16.83	CRO	science fiction
0553576046	Riley in the Morning	Sandra Brown	2001	Bantam Books	379	24	20.96 x 26.04	FR	fantasy
0553576089	In the Presence of the Enemy	ELIZABETH GEORGE	1997	Bantam	109	13	20.96 x 26.04	ENG	political thriller
0553576119	Star Wars Darksaber	Kevin J. Anderson	1996	Bantam	413	8	20.96 x 26.04	CRO	textbook
0553576313	If I Should Die: A Mali Anderson Mystery (Mali Anderson Mystery)	Grace F. Edwards	1998	Bantam Books	223	21	20.96 x 26.04	GER	journal
0553576348	Hello from Heaven!	Bill Guggenheim	1999	Bantam Books	228	5	20.96 x 26.04	ENG	religion and spirituality
0553576429	A Good Old-Fashioned Future: Stories	Bruce Sterling	1999	Spectra Books	487	23	20.96 x 26.04	ENG	textbook
0553576550	The Barker Street Regulars: A Dog Lover's Mystery (Dog Lover's Mysteries)	Susan Conant	1999	Bantam	421	15	12.70 x 12.70	ENG	historical fiction
0553576607	Quieter Than Sleep	Joanne Dobson	1998	Bantam Books	395	13	20.96 x 26.04	FR	fantasy
0553576666	The Next President	Joseph Flynn	2001	Bantam Books	552	21	20.96 x 26.04	SP	business/economics
0553576798	The Other Daughter	LISA GARDNER	1999	Bantam	631	14	20.96 x 26.04	CRO	humor
055357681X	The Seeds of Time (Bantam Spectra Book--T.P. Verso)	Kay Kenyon	1997	Bantam	196	9	20.96 x 26.04	ENG	sports and leisure
0553576887	Hear No Evil	Bethany Campbell	1998	Bantam	79	2	20.96 x 26.04	ENG	cookbook
055357695X	Out of the Shadows (Shadows Trilogy (Paperback))	Kay Hooper	2000	Bantam Books	553	19	20.96 x 26.04	ENG	romance
0553577123	The Diary of a Young Girl: The Definitive Edition	Anne Frank	1997	Bantam Books	671	9	20.96 x 26.04	ENG	health/fitness
0553577174	Untitled: A Booklover's Mystery (Booklover's Mysteries)	Julie Kaewert	1999	Crimeline	479	24	20.96 x 26.04	FR	young adult
0553577239	The Bone Doll's Twin (Tamir Trilogy, Book 1)	Lynn Flewelling	2001	Spectra Books	377	21	20.96 x 26.04	ENG	anthology
0553577255	Traitor's Moon (Nightrunner, Vol. 3)	Lynn Flewelling	1999	Spectra Books	442	8	20.96 x 26.04	ENG	math
0553577360	The Garden Tour Affair (Gardening Mysteries (Paperback))	Ann Ripley	1999	Bantam Books	451	16	12.70 x 12.70	ENG	biography
0553577395	Starfire (Bantam Spectra)	Charles Sheffield	2000	Spectra Books	543	4	20.96 x 26.04	ENG	suspense
0553577611	The Rose and the Warrior	Karyn Monk	2000	Bantam Books	467	17	20.96 x 26.04	ENG	young adult
0553577778	Infinity's Shore (The Uplift Saga, Book 5)	David Brin	1997	Bantam Books	284	3	17.15 x 16.83	ENG	memoir
0553577808	A Letter of Mary (Mary Russell Novels (Paperback))	LAURIE R. KING	1998	Bantam	396	8	20.96 x 26.04	FR	anthology
0553578138	A Place to Call Home	Deborah Smith	1998	Bantam Books	436	25	20.96 x 26.04	ENG	suspense
0553578251	Night Work: A Kate Martinelli Mystery (Kate Martinelli Mysteries)	Laurie R. King	2000	Bantam Books	493	11	20.96 x 26.04	ENG	religion and spirituality
0553578294	Smoker	Greg Rucka	1999	Bantam Books	198	14	20.96 x 26.04	ENG	memoir
0553578316	Sticks &amp; Scones	Diane Mott Davidson	2002	Bantam Books	509	15	20.96 x 26.04	ENG	satire
0553578359	Chopping Spree	Diane Mott Davidson	2003	Bantam Books	438	17	20.96 x 26.04	ENG	suspense
0553578375	Jane and the Stillroom Maid (Jane Austen Mysteries (Paperback))	Stephanie Barron	2001	Bantam Books	661	13	20.96 x 26.04	ENG	action and adventure
0553578405	Jane and the Prisoner of Wool House	Stephanie Barron	2002	Crimeline	189	15	20.96 x 26.04	ENG	humor
0553578596	Wicked Fix : A Home Repair is Homicide Mystery (Home Repair is Homicide Mysteries (Paperback))	SARAH GRAVES	2000	Bantam	332	9	20.96 x 26.04	ENG	philosophy
055357874X	Finding Mr. Right	EMILY CARMICHAEL	1999	Bantam	415	12	20.96 x 26.04	ENG	short story
0553578758	A Ghost for Maggie	Emily Carmichael	1999	Bantam Books	370	15	20.96 x 26.04	ENG	true crime
0553578766	Tales from the Empire: Stories from Star Wars Adventure Journal	Peter Schweighofer	1997	Spectra Books	597	10	20.96 x 26.04	FR	romance
0553578774	Night Dogs	Kent Anderson	1999	Bantam Books	78	7	20.96 x 26.04	ENG	graphical novel
0553578790	Vision of the Future (Star Wars: The Hand of Thrawn, Book Two)	Timothy Zahn	1999	Spectra Books	388	3	17.15 x 16.83	SP	anthology
0553578898	Tomorrow &amp; Tomorrow	Charles Sheffield	1998	Bantam Books	154	2	20.96 x 26.04	ENG	thriller
0553578960	The Accidental Bride	Jane Feather	1999	Bantam Books	24	1	12.70 x 12.70	ENG	biography
0553579010	Spares	Michael M. Smith	1998	Bantam Books	632	8	12.70 x 12.70	ENG	diary
0553579045	Your Baby's First Year	Steven P. Shelov	1998	Bantam	217	11	20.96 x 26.04	ENG	travel
055357910X	Meg	Steve Alten	1998	Bantam Books	653	7	20.96 x 26.04	ENG	poetry
0553579142	Cry Dance	Kirk Mitchell	2000	Bantam Books	318	10	20.96 x 26.04	CRO	textbook
0553579215	Legend of the Sorcerer	Donna Kauffman	2000	Bantam Books	696	12	20.96 x 26.04	FR	biography
0553579231	The Legend Mackinnon	DONNA KAUFFMAN	1999	Fanfare	582	2	20.96 x 26.04	FR	self help
0553579274	A Finer End	DEBORAH CROMBIE	2002	Bantam	543	6	20.96 x 26.04	ENG	alternate history
0553579282	The Men Behind the Trident: Seal Team 1 in Vietnam	Dennis J. Cummings	1998	Bantam Books	254	12	20.96 x 26.04	ENG	picture book
0553579673	Hen's Teeth	Manda Scott	1999	Bantam Books	149	7	20.96 x 26.04	ENG	math
0553579835	The Matarese Countdown	Robert Ludlum	1998	Bantam Books	28	12	20.96 x 26.04	ENG	sports and leisure
0553579851	Father to Be	MARILYN PAPPANO	1999	Bantam	90	22	20.96 x 26.04	ENG	mystery
0553579908	A Clash of Kings (A Song of Fire and Ice, Book 2)	George R. R. Martin	2000	Spectra Books	361	24	20.96 x 26.04	ENG	home and garden
0553580000	The Tin Man	Dale Brown	1999	Bantam Books	445	18	12.70 x 12.70	ENG	religion and spirituality
0553580035	Battle Born	Dale Brown	2001	Bantam Books	298	14	20.96 x 26.04	FR	guide
0553580051	The Lazarus Child	Robert Mawson	1999	Bantam Books	146	14	20.96 x 26.04	ENG	fantasy
0553580078	The Years of Rice and Salt	Kim Stanley Robinson	2003	Spectra Books	517	17	20.96 x 26.04	ENG	crafts/hobbies
0553580221	False Memory	Dean R. Koontz	2000	Bantam Books	375	18	20.96 x 26.04	ENG	anthology
0553580256	Pawing Through the Past (Mrs. Murphy Mysteries (Paperback))	RITA MAE BROWN	2001	Bantam	698	10	20.96 x 26.04	ENG	biography
0553580264	Tropic of Creation	Kay Kenyon	2000	Spectra Books	565	18	20.96 x 26.04	ENG	philosophy
0553580280	Catch As Cat Can	Rita Mae Brown	2003	Bantam Books	138	4	12.70 x 12.70	ENG	historical fiction
0553580302	House Harkonnen (Dune: House Trilogy, Book 2)	Brian Herbert	2001	Spectra Books	301	7	20.96 x 26.04	ENG	guide
